animal_id,hit_rate_no_prev_viol,hit_rate_with_prev_viol
W051,0.8034897750664595,0.7640541326405261
W060,0.8306311940880574,0.7830922079052732
W065,0.7769710739003517,0.7673705565213362
W066,0.7879019408090374,0.7929199842057898
W068,0.7793695341363903,0.7716083234675182
W072,0.792682289037476,0.7548760891683604
W073,0.8574901050692599,0.8123300402209257
W074,0.8777375056793403,0.7808884237148145
W075,0.9021767020249031,0.8684346216894858
W078,0.8598492239924099,0.8169151004756525
W080,0.7739774632786827,0.731158259962383
W081,0.758897664540587,0.7298611874645358
W082,0.8023322830204889,0.8023048792008826
W083,0.8097377064985951,0.7986688908917425
W088,0.8015100948169943,0.7599177296185636
W089,0.7935198215913487,0.7435564476087315
W094,0.8076736894273703,0.7633370576937378
