animal_id,training_stage,hit,violation
W051,1,0.9731467403137767,0.19356195053019615
W051,2,0.9953323532742292,0.17327004859655323
W051,3,0.5171869544049436,0.27394591114782835
W051,4,0.7395819420844357,0.15424076501552356
W060,1,0.9380540011826562,0.25759755376074756
W060,2,0.988164307192549,0.31465281513286114
W060,3,0.5022773716893664,0.30145007892643494
W060,4,0.7815423330319642,0.14048518633862347
W065,1,0.9613621353696367,0.2900928112448007
W065,2,0.9923071124227693,0.3884058509875569
W065,3,0.5918638068868936,0.3430748082503893
W065,4,0.7604598339694508,0.3777046731941551
W066,1,0.9064464146283122,0.386228695725263
W066,2,0.9845916795069337,0.38666431926707745
W066,3,0.5754471998224383,0.533095813016521
W066,4,0.7484703853351126,0.26801470135179967
W068,1,0.94248945635186,0.2836693368472543
W068,2,0.9911094074855354,0.2546629951493425
W068,3,0.4546647077264806,0.38486922510807337
W068,4,0.7286294337131747,0.20730057955532155
W072,1,0.9414886075622981,0.2789036414254019
W072,2,0.9980482798784656,0.29927208956009954
W072,3,0.47312926349697837,0.5611774717011853
W072,4,0.7627191529458918,0.19737931974242776
W073,1,0.9197189188145529,0.2818605692551635
W073,2,0.9643692402757866,0.208121559837901
W073,3,0.4923517587050294,0.41582353902828106
W073,4,0.7979182628567181,0.15726499277573708
W074,1,0.9067846790136683,0.2584013445404809
W074,2,0.9861772992622367,0.2866757300238183
W074,3,0.4982509636715938,0.3956222403184463
W074,4,0.831300292462364,0.1147914160524816
W075,1,0.958020532753202,0.21173856230697355
W075,2,0.9903835087658348,0.15760731833661626
W075,3,0.515530311624781,0.2531229086843919
W075,4,0.8701370637518773,0.16646597562160703
W078,1,0.8332606104198296,0.38035241374437884
W078,2,0.8945504863345638,0.34510033126222234
W078,3,0.4994931278802415,0.23335578171260196
W078,4,0.8342853454885756,0.11971702202212316
W080,1,0.9328053352507389,0.3142906516447089
W080,2,0.995682500685129,0.3360631454004025
W080,3,0.4860368094071939,0.43764938455343394
W080,4,0.7103957713729341,0.22927348473500536
W081,1,0.976390529171346,0.3579801386552004
W081,2,0.9952513227513228,0.25059636821555403
W081,3,0.5284026132434017,0.3472070387380517
W081,4,0.6737498601279674,0.22823010586108688
W083,1,0.9639266391057323,0.38133633849427334
W083,2,0.9887340165231008,0.33116976366564715
W083,3,0.5288227591748678,0.34446675167122204
W083,4,0.7710044394706151,0.29213974258355674
W088,1,0.7019917056915329,0.19580754433485711
W088,2,0.9936353328150995,0.30590579774432747
W088,3,0.574418438044229,0.34130162238975165
W088,4,0.7500101093027929,0.20086820668111527
W089,1,0.7778818292125483,0.21304770470635645
W089,2,0.9926047349162124,0.15542561872933133
W089,3,0.5146427484475343,0.199913519318673
W089,4,0.7697625045916776,0.12714058703046247
W094,1,0.9396247574218981,0.3596030582127375
W094,2,0.9821294138873783,0.3802864573712344
W094,3,0.5092362491820018,0.5508682707349496
W094,4,0.7045566425748128,0.24588080810590074
