animal_id,trained_hit,violation_rate,time_to_train,n_delays,motor_learning_perf
W051,0.7968358250626779,0.1596296796750921,325,5,0.9731467403137767
W060,0.8253682047457254,0.1543467586460978,247,4,0.9380540011826562
W065,0.7756335367716725,0.3728070027405945,100,4,0.9613621353696367
W066,0.7887677323121408,0.28022668019115704,285,7,0.9064464146283122
W068,0.7782523259317362,0.21473723915883408,422,4,0.94248945635186
W072,0.7878346484176421,0.2182611341755203,144,3,0.9414886075622981
W073,0.8526658199839686,0.17032100652053525,276,3,0.9197189188145529
W074,0.8699788469294579,0.13108508805742297,144,4,0.9067846790136683
W075,0.8979056999176473,0.1702515788074684,125,4,0.958020532753202
W078,0.8562640399449043,0.15259619758026752,106,2,0.8332606104198296
W080,0.768951653294884,0.23953791138496672,270,4,0.9328053352507389
W081,0.7543893152415369,0.24021418096013997,480,4,0.976390529171346
W083,0.808173374839007,0.29573561311138674,242,4,0.9639266391057323
W088,0.7950314419106503,0.2075636473601711,195,4,0.7019917056915329
W089,0.788243036651002,0.13206686504469237,127,4,0.7778818292125483
W094,0.798527703184287,0.2721505830998231,369,4,0.9396247574218981
