animal_id,avg_n_ns_no_prev_viol,avg_n_ns_with_prev_viol
W051,0.03209429855141012,0.10106092044239129
W060,0.03014245804453467,0.12583157844769033
W065,0.011223382003469335,0.10139497190729185
W066,0.0023276714174683276,0.008889119278702154
W068,0.05819616215734746,0.20924072244151581
W072,0.08990670806476073,0.12046601410290536
W073,0.013904458579259897,0.06388471457117986
W074,0.0032945268459461607,0.04054798656933653
W075,0.0024852040006307324,0.009343880240461353
W078,0.0680794560113183,0.06016915603894104
W080,0.02281631257125866,0.05915029161416044
W081,0.06421784669785251,0.08368566040306245
W082,0.10614227113200964,0.1824500246847199
W083,0.06797096722754298,0.2179151842798386
W088,0.11170178629383241,0.23790502232096625
W089,0.11162346277500562,0.2832340387813786
W094,0.014495856994379972,0.05060362738075044
