animal_id,ns_rate_no_prev_viol,ns_rate_with_prev_viol
W051,0.009853482768979694,0.017318160101752373
W060,0.007819158659165907,0.024751108992393658
W065,0.004858952060065965,0.036757486428570546
W066,0.001556294066358262,0.0029691782998172564
W068,0.012514243137933367,0.02667176037671025
W072,0.014224455621488183,0.03801727053888482
W073,0.005454843391893288,0.022981832193312794
W074,0.0021339493432610012,0.02114133588458785
W075,0.002150554801329007,0.005540882185474907
W078,0.010100633515802326,0.03054134225934274
W080,0.015111211815216019,0.026039074202232965
W081,0.010951416176037723,0.01999423865690816
W082,0.01959425404657392,0.023310248588244667
W083,0.009006336663330297,0.031264998334452315
W088,0.015248512791294706,0.03039411178686964
W089,0.01390972140509225,0.03098119105856081
W094,0.00583762214117652,0.012589346444963992
