animal_id,frac_consecutive_viols,median_prev_viol_exp,mean_prev_viol_exp,prev_violation_tau,quartile_25_prev_viol_exp,quartile_75_prev_viol_exp,session_avg_viol_rate,session_avg_hit_rate
W051,0.2989137907328475,0.057648921161737136,0.13916989472550723,3,0.0026836981684301656,0.2196979245344959,0.1701080772392051,0.6577592325573618
W060,0.3293718166383701,0.04046791024781818,0.12164532605064798,3,0.0026836981684301656,0.18514851410837901,0.15817520597108528,0.7168694705547328
W065,0.4068950128305255,0.1715600531228718,0.23101663348074888,3,0.042880865663696595,0.34316879442497794,0.2453646089904458,0.7355799078644019
W068,0.4625948208213445,0.1908521049360953,0.2458313316061557,4,0.06573127878845415,0.3575625518155141,0.2993238727776526,0.6475841730312555
W072,0.49372182871860915,0.14573121019340826,0.252726748751155,2,0.011962346188185022,0.40572393085209096,0.3084513529451621,0.6766004627380261
W073,0.5884401114206128,0.04888007568807354,0.20884791852406215,2,0.0,0.32866059311007184,0.26666436448187786,0.6640993421483026
W074,0.40962585631477255,0.056587216821125386,0.15247968758117889,3,0.0,0.23596218888240403,0.2002326388067549,0.6666361568813965
W075,0.27852545348156815,0.1770424116179443,0.20361598566367892,8,0.09098087913751135,0.2861540400920952,0.19614921677122285,0.7223695859983466
W078,0.35431472081218274,0.03251702826907968,0.1452052483142321,2,0.0,0.2402701460507435,0.15630570670936555,0.7837512529394325
W080,0.737382378100941,0.2281034631487062,0.37150752227707823,3,0.0475049855715143,0.6732569061563339,0.4102199242084259,0.6594511797944415
W082,0.5209146923544216,0.40274840318561334,0.4337262745520789,5,0.2616498927811467,0.5679260829057662,0.46454849593313924,0.6450594018765663
W083,0.6924076118724427,0.14573121019340826,0.3193407865432018,2,0.007255529725230767,0.5654882878457201,0.3368174929404714,0.6758978153647057
W088,0.767867791123605,0.2341216572527366,0.38692621745219513,3,0.042368961373796324,0.8197818613999586,0.4285553557720336,0.6490438014641965
W089,0.7257530619000331,0.1294696961884326,0.2948882560613832,3,0.010181059580593567,0.4604260871223942,0.31695628494268446,0.7082288414077574
